Engine Speed [RPM],Correction Factor [-],Observed Torque [N.m],Observed Power [kW],Corrected Torque [N.m],Corrected Power [kW]
1500,1.07,17.57,2.76,18.8,2.95
1700,1.07,17.91,3.19,19.16,3.41
1900,1.07,18.21,3.62,19.48,3.88
2100,1.07,18.55,4.08,19.85,4.36
2300,1.07,18.78,4.52,20.09,4.84
2500,1.07,18.78,4.92,20.1,5.26
2700,1.07,18.77,5.31,20.09,5.68
2900,1.07,18.38,5.58,19.67,5.97
3100,1.07,18.6,6.04,19.9,6.46
3300,1.07,18.21,6.29,19.48,6.73
3500,1.07,15.7,5.76,16.8,6.16
3700,1.07,1.24,0.48,1.33,0.51
3750,1.07,0.04,0.02,0.04,0.02
3800,1.07,-0.78,-0.31,-0.84,-0.33
